HS,CN
Dena hobea izango litzateke musulmanak existituko ez balira. Gure gizarteari egin dioten ekarpen bakarra indarkeria da.,Mundua leku hobea izango litzateke oinarririk gabeko esaerarik eta gaizki bideratutako gorrotorik gabe.
Animaliekin sexu harremanak dituen edonorentzat ez dago inolako zigorrik ezarrita 'Sunan Abu Dawood 38.4450.,Zure gorroto diskurtsoa iltze goriei eusten ari zarela sentitzen dut.
"Ideia liberalak oker daude, pentsarazi nahi digute islama ona dela baina errealitatean gerraren eta indarkeriaren gurtza dela.","Ideologia islamiarrari buruz gehiago jakingo bazenu, ados egongo zinateke islama ez dela soilik gerra eta indarkeria. Gauza on asko bultzatzen ditu, hala nola familiarekiko maitasuna eta txiroentzako laguntza. Musulmanak orokorrean banda armatuekin nahastu dituzu!"
"Nire ustez musulmanak arazoa dira. Ez dute asimilatu nahi. Denek Islamarekiko errespetua izatea eskatzen dute, baina gure legeak errespetatzen al dituzte? Xaria eta poligamiaren legeak ezartzen dituzte.","Ez dut zure iritzia partekatzen, baina aitortzen dut iritziek, nireak edo zureak, ez dutela egitateetan edo ezagutzan oinarrituta egon behar. Nik bizilagun, lankide, lagun musulmanekin izandako ""esperientziak"" ez nau eraman haiek arazo gisa ikustera."
"Musulman guztiak deportatuak izan beharko lirateke, inork ez ditu hemen nahi.","Nora deportatu? Mendebaldeko musulman gehienak hemen jaio ziren, ezin duzu norbait inoiz egon ez den leku batera bueltan bidali."
"Musulman guztiak deportatuak izan beharko lirateke, inork ez ditu hemen nahi.","Hemen nahi ez ditudan pertsona batzuk daude, baina herritar britainiarrak kanporatzeak diktadura bat dirudi."
Islama da Mendebaldeko zibilizazioaren mehatxu handiena.,Britainiar musulmanek 31.000 milioiko ekarpena egiten diote Erresuma Batuko ekonomiari eta horri mehatxu deituko al zenioke?
Islamaren helburua konkista besterik ez da.,"Orduan, gurutzadak ahazten ari al gara?"
Islamaren helburu bakarra gu menderatzea eta suntsitzea da! Kulturanitza izateak ez du zerikusirik.,Horrenbeste ba al dakizu kultura musulmanaz? Menderatzea eta suntsitzea ez da haien kontua. Erlijioko adituekin hitz egin beharko zenuke lehenengo eta zure iritzia osatu ondoren. Ez errepikatu estereotipoak!
Islama gure planeta kutsatzen duen izurritea da.,Gorrotoa eta intolerantzia dira gure planetan zabaldutako izurrite bakarrak.
"Gure seme-alabak ""Islam"" zentzugabekeria hau indarrez elikatzen ari dira eskoletan. Hau penagarria da.",Zer esan nahi duzu indarrez elikatzearekin? Ez dut horrelakorik ikusi.
Britainia Handia islamizatzen ari da oso azkar. Gobernu britainiarrak Islamaren kezka guztiei men egiten die.,"Jendeak eskubidea du elizak eraikitzeko eta beren fedeari jarraitzeko. Ez gaituzte guztiok beren federa bihurtu nahi, ezta? Beraz, bakean utzi beharko genituzke."
"Izurri hauek desagerrarazi behar ditugu, haien irabaziak, doako etxebizitza eta gure osasun zerbitzu nazionalerako sarbidea kendu eta Erresuma Batutik guztiak bota behar ditugu, ulertuko duten hizkuntza bakarra da.",Musulmanek ez dituzte prestazioak edo etxebizitza sozialak geahiago behar musulmanak ez diren biztanle britainiarrek baino. Utzi musulmanak gure baliabide nazionalen drainatze gisa irudikatzen saiatzeari eta egiten dituzten ekarpen positiboak kontuan hartzen saia zaitez.
Musulmanek ezin diote inolako baliorik erantsi gure kulturari.,Nor gehiago egongo litzateke goizean goiz eta gauean berandu irekita?
"Islama sormenaren aurka dago, Korana baino ez baitu behar. Ez da erlijioa, kontrol sistema baizik.","Beno, kaligrafiaren tradizio aberatsa, artelan abstraktu eta geometrikoak, arkitektura, lorezaintza, musika, poesia, zeramika, batzuk aipatzearren."
Islama arratoiak bezala ugaltzen diren burua jandako zoroen sekta basatia besterik ez da.,Ordezkatu islama zure adierazpeneko edozein pertsona taldeekin eta ikusiko duzu zein iraingarria den.
"Isisen neskalagunak gure herrialdera itzuli nahi du, ez diogu sartzen utzi behar! Ez dira britainiarrak! Herrialde honetan jaio badira ere ez dira gu bezalakoak, desberdinak dira! Ez da britainiarra!","Zuzenbide estatuan sinestea orokorrean ""britainiar balio"" gisa aipatzen dela kontuan hartuta, ziur asko garrantzitsua da pertsona hori Erresuma Batura itzultzea, egindako delituengatik epaitzeko?"
Musulmanek ez dute ezer aportatzeko gure gizartean.,"Zure ustez, nork ekarri ditu Mendebaldera Shawarma, Hummus eta hainbeste maite dituzun Asiako eta Ekialde Hurbileko beste janari guztiak?"
Ia musulman guztiek apropos aukeratzen dute lanik ez egitea.,"Hori faltsua da, froga daiteke. Erresuma Batuko langabeen %12 inguru dira musulmanak; gehiengo zabalak gogor lan egiten du eta Erresuma Batuko ekonomian laguntzen du."
Musulman bat Alarekiko leiala da soilik (kargu publikoetarako hauteskundeekin eta abarrekin lotutako iruzkin gisa).,"Beraz, Jainkoaren irakaspenetan duten fedeak eta sinesmenak zerbitzu publikoaren bide bertutetsu batera gidatzen ditu. Zertaz kexatzen zara zehazki?"
Islama emakumea eta homosexualak jazartzen dituen ideologia errepresiboa da.,"Beno, LGBT eskubideei eta misoginiari dagokionez, Bibliak ez du zehazki erregistro onena. Baina xehetasunei begiratu beharrean balio positiboei begiratzen ikasi dugu."
"Milaka neska britainiar musulmanek eta britainiarrak ez diren beste etorkinek bortxatu, esklabotu edo hiltzen dituzte. Ai, gaixoak zuek!",Ba al dakizu etxeko indarkeria are arazo handiagoa dela gure gizartean? Lehenik eta behin gure barne arazoei aurre egin behar diegu eta gero beste pertsona batzuei bota errua.
Musulmanek ezin diote inolako baliorik erantsi gure kulturari.,"Medikuak, zirujauak, erizainak, garraiatzaileak, zientzialariak, artistak, kirolari famatuak izan ezik. Beste norbait Monty Python-en zalea al da?"
"Irudikatu ""Islamari irain egiten diotenei burua moztu"" bezalako kartelekin agertzen dira manifestariak ""Nola izan gaitezke islamofoboak benetan hil nahi gaituztenean?"" dioen testuarekin.",Kkk inor? Gizabanakoaren ekintzek ez dute ekintza horiek justifikatzeko erabiltzen duten erlijioa islatzen.
"Musulman baten benetako leialtasuna Alarekiko da (kargu publikoetarako hauteskundeei buruz, etab.)","(Edozein) fedeko edonork ulertuko luke tolerantzia, bakea eta justiziarekiko dugun erantzukizuna funtsezkoa dela. Fedea baduzu, harritzen nau zalantzan jartzeak."
"Korana da gaur egungo munduko arazo guztien erroa. Musulmanek bertan idatzitako guztian sinesten dute, nahiz eta hain zaharra izan eta mende honekin zerikusirik ez izan.","Liburu honek 1400 urte izan eta, zuk diozun bezala, gure mendekoa ez izateaz gain, eman al dezakezu liburu hau ikaragarria izateko beste arrazoirik? Hori ulertzen ahalegintzen ari naiz eta."
"Musulmanak hil behar ditugu, bestela lehertaraziko gaituzte!",Edo ez dugu egingo. Utz diezaiogun hona errefuxiatu gehiago ekartzen dituen gerra pizteari eta hemen daudenak integratu ditzagun. Jende gehienak bizitza baketsua eta zoriontsua nahi du bere fedea edozein dela ere.
Arreta jarri behar dugu musulmanak ez iraintzeko gurean Gabonak ospatzen ditugun bitartean.,"Inoiz ez dut hainbeste jende ikusi aurten Gabonak ospatzen eta, nik dakidala, musulman bat bera ere ez zen mindu. Orduan, zertaz ari zara?"
"Uste dut zentzu ona dela islamari buruz aurreiritziak izatea. Hau ez da arrazakeria, islama sekta bat delako.","Aurreiritzia = Aurretiko iritzia, hau da, ezer ez jakitea, nola izan daiteke hori sen ona?"
"Islamaren bertsio guztiek sharia legea dute, beraz, guztiak muturrekoak dira. Musulman guztiek ez dute indarkeria ekintzetan parte hartzen, baina musulman guztiek dakite jihad dela beren erlijioaren muina eta guztiek onartzen dute.","Galdetu al diezu musulman guztiei beren iritziaz? Ezetz suposatzen dut. Beraz, mesedez, ez hitz egin denon izenean!"
Musulmanek ezin diote inolako baliorik erantsi gure kulturari.,"Musulman izatearen funtsezko betebeharra Zakat (arabieraz ""ongintza"" hitza) egitea da. Mahoma profetak zera adierazi zuen: ""Berpizkundearen egunean sinestunaren itzala bere karitatea izango da"". Beraien inspirazioagatik, musulmanek etengabe lan egiten dute karitatezko kausa askoren alde, gizateria mundu mailan eta Erresuma Batuko tokiko gizarteetan zerbitzatzeko."
"YouGov-ek egin berri duen inkestaren arabera, mendebaldarrek islama beste erlijioak baino gutxiago bezala ikusten dute, mendebaldeko balioekin bateraezina dela iritzita.",Islamaren jarraitzaileen istorio ia esklusiboki negatiboak irakurtzearen ondorioz iritziak eta sinesmenak nola moldatzen eta horrek nola eragiten dien ikusi behar dugula uste dut.
"Ez dugu onartu nahi Islama ez dela erlijioa, hilketa onartzen duen sekta besterik ez da.","Hau ""azken irtenbidea"" iruditzen zait. Erresuma Batuko biztanleriaren % 5 suntsitzea iradokitzen al duzu? Kontrolatu zure burua."
Italia: musulmanek Jesusen estatua eraitsi zuten. Italia: Zergatik onartzen ditugu haien meskitak? Zergatik onartzen dugu zabor hau? Zabor hori inportatzen jarraitu nahi dute?,"Gizonak Gorrotoa zabaltzen du, intolerantzia bultzatzen du, zergatik onartzen dugu hau? Eta zikinkeria honekin jarraitu nahi al dute?"
Islamarekin eta musulmanekin bakea egitea buruko gaitza da. Egia da.,"Ez dut uste hori horrela denik. Noren ""egia"" da?"
Islamarekin eta musulmanekin bakea egitea buruko gaitza da. Egia da.,"Erlijio eta kultura ezberdinei buruz gehiago jakingo bazenu, ez zenuke hori esango."
Ez banatu inoiz ogia Quranimal batekin. GIB edota Ebola harrapatzeko arriskua duzu.,Nola esan dezakezu hau ehunka milioika pertsonari buruz?
Ez banatu inoiz ogia Quranimal batekin. GIB edota Ebola harrapatzeko arriskua duzu.,Hau epidemiologiari buruzko ulermen eskasa edo ez ulertzea da. Beharbada gaixotasunen hedapenari buruzko ikerketa txiki bat egin beharko zenuke.
Islama gorrotoa da! Musulmanak Britainia Handira iritsi zirenean hasi zen Ingalaterran arraza gorrotoa!,"Ez duzu uste, agian Ingalaterran arraza gorrotoa benetan hasi zela beste nazioak kolonizatzen hasi ginenean eta beste arraza batzuetako jendea gizapetiko izakitzat hartzen hasi ginenean?"
"Islamarekin eta erradikalismo musulmanarekin publikoki kritikoa den pertsona bat aurkitu du, mendebaldeko guztiek islama gorrotatzen baitute.","Islama gorrotatzen ez duten mendebaldeko jendea ezagutzen dut, beraz, zure adierazpena ez da egia."
"Norbaitek gaur egun Korana idatziko balu, ez litzateke onartuko.",Uste dut aspaldi idatzitako edozein liburuk seguruenik egingo lukeela.
Islama erlijioz mozorrotutako Moon sekta bat besterik ez da.,"Nahiko ikusgarria da ""sekta"" batek 12 Nobel sari sortu izana."
Musulmanek ezin diote inolako baliorik erantsi gure kulturari.,Nola iritsi zinen erabaki honetara?
"Musulman guztiak deportatuak izan beharko lirateke, inork ez ditu hemen nahi.",Nora deportatu? Erresuma Batuko herritarrak al dira.
Emakumeen genitalen mutilazioa guraso musulmanak dituzten neskei bakarrik gertatzen zaie!,"Jakintsu islamiar askok emakumeen genitalen mutilazioaren aurka egiten dute kanpaina, ez da Koranean aipatzen eta debekatuta dago hainbat herrialde musulmanetan. Hau arazo kulturala da, ez erlijiosoa."
Gure herrialdeak milaka urte daramatza islamaren aurkako gerran.,"2,5 milioi musulman Europara joan ziren Lehen Mundu Gerran aliatuen alde borrokatzera."
"Estatistikek diote Erresuma Batuko musulmanen% 99 hain alferrak direla, ez dutela lan egin nahi.",Estatistikek eta datuek erakusten dute hori okerra dela.
Ia musulman guztiek apropos aukeratzen dute lanik ez egitea.,Nola esan dezakezu hau gizarteko esparru guztietako pertsona talde oso bati buruz?
"Islama gerrara garamatzan kultua da (hori esan ezin dudan arren),eta horrez gain, intoleranteak, alderdikoiak, sexistak, etab. dira. ",Nola esan ditzakezu horrelako gauza gorrotagarriak fede oso bati buruz?
"Europa zibilizatua da, musulmanek ez lukete bertan egon behar.",Musulman batekin hitz egin al duzu inoiz?
Musulmanek ezin diote inolako baliorik erantsi gure kulturari.,Zure arratsaldeko tea.
"Islama eta hijab berdinak dira! Islama zapalkuntza, intolerantzia, matxismoa da. Musulmanak bortxatzaileak dira! Ez zait gustatzen!","Emakume musulmanei hijab janztea gustatzen zaie. Ezkubidea duzu gustukoa ez izateko, baina ez diezu zure iritzia besteei inposatu behar."
"Etengabe esaten dute beren erlijioa ""bakearen erlijioa"" dela, agian benetan ez delako.","Agian jendeak, jakina, ez dutelako hori ulertu eta muturreko kasu batzuk erlijio osora orokortzen jarraitzen dutelako?"
"Musulmanek gauza izugarriak egin dituzte gure herrialdeetan, hala nola matxete erasoak, talde bortxaketak, hilketak, etab. Zergatik ez du gure gobernuak ezer egin?",Serioski iradokitzen al duzu gauza horiek ez zirela gertatzen Indiako azpikontinenteko jendea gure errotetan eta lantegietan lan egitera etortzera gonbidatu arte?
"Birmingham-en bada eskola bat, non neskak eta mutilak bereizten diren, legezkoa ez den arren.","Erlijio eskoletan genero bereizketa negatiboa da argi eta garbi, baina ez da eskola islamiko batzuetan soilik. 15 urte nituen klase mistoetara joan aurretik, baina hori normaltzat hartu zen 1960ko eta 1970eko hamarkadetan. Arazoa da, fedean oinarritutako hezkuntza baimendu nahi badugu, legezko estandarrak eta eskakizunak mantentzeko mekanismo eraginkorrak behar ditugula."
"Islamarekiko ""ezjakina"" eta ""aurreiritziz betea"" izatea, ez al da hori arrazakeria? Sen ona da. Ezin zara arrazista izan ideologia batekiko.",Zure gorrotoaren semantikak ez du aldatzen oraindik ere hor dagoenik.
Islamarekin eta Isisekin nekatuta nago. Musulman guztiak beren aberrira bidali beharko lirateke. Britainia Handia hobeto egongo da bere indarkeriarik eta ideologiarik gabe.,Erlijio jakin bateko pertsona guztiak gaizkile bortitzak direla esateak ez du inolako zentzurik.
"Islamistak gaizkileak dira: pertsonak bortxatu, esklabotu eta erail egiten dituzte. Islama erlijio baten ordez gurtza bat da eta ez dugu haiekin partekatzeko ezer.","Bortxaketa, esklabutza eta hilketa ohikoak dira Biblian. Erlijio askok horrelako ekintza bortitzez hitz egiten dute, ez du esan nahi haien jarraitzaileek delitu horiek egiten dituztenik."
Ez ezazu inoiz bazkaria partekatu musulman batekin - GIBa edo ebola har ditzakezu.,"Duela gutxi bazkaldu nuen lagun musulman batzuekin. Nolabait ere, oraindik GIB eta Ebolarik gabe jarraitzen dut!"
"Islamak beste erlijioek baino gehiago esaten du ""bakearen erlijioa"" dela. Nire buruari galdetzen diot zergatik jarraitu behar duten hau errepikatzen. ","Agian, errua haiei botatzen diegulako eta komunikabide selektiboek kontrakoa esaten dutelako?"
"Joder Islam eta joder ISIS. Musulman guztiak aberriratu behar genituzke. Guztiak dira gure balioekin bat ez datozen gaizkile bortitzak. Haiek gabe, Britainia Handia leku hobea eta seguruagoa izango da.","Egia da mundu osoko musulmanek ISIS eta bere indarkeria salatzen dituztela. Gainera, musulman asko ISISen biktima dira. <The Guardian> egunkariaren arabera, ""Isis-ek aldiro argitaratzen du munduko lider musulmanen zerrenda bere lineako aldizkarian, eta horrek Siriako eta Irakeko musulmanek Australia bezalako herrialdeetara migratu nahi izatearen zergatia azaldu dezake""."
Sunan Abu Dawoodek dio gizon batek animaliarekin sexu harremanak baldin baditu ez dela zigorrik izango.,Irakurri al duzu ondorengo lerroa? Zigor hori hitzez hitz esaten du eta hori egiten duen pertsona 'fornikatzaile gisa tratatu behar dela'.
Islama gure planeta kutsatzen duen izurritea da.,Kristautasuna edo beste edozein erlijio bezalako bat besterik ez da. Gainditu ezazu.
Musulmanek esklaboen salerosketa asmatu zuten.,Baina britainiarrek mundu osoko bortxaketa eta lapurreta egiteko arte modua bihurtu zuten.
"Islama da Mendebaldeko zibilizazioaren mehatxu handiena.
",Benetako mehatxua honelako iruzkin zatitzaileak direla esango nuke.
Txinako musulmanak txerria jan eta alkohola edatera behartu zituzten azken urte berri txinatar ospakizunean. Txina behintzat ondo egiten ari da!,Umetan ilarrak jatera behartuta egoteak are gehiago gorrotatzera bultzatu ninduen. Oraindik ezin ditut ilar madarikatuak jan.
Musulman gehienak langabezian daude eta lanari uko egiten diote.,"Hori faltsua da, froga daiteke. Erresuma Batuko langabeen %12 inguru dira musulmanak; gehiengo zabalak gogor lan egiten du eta Erresuma Batuko ekonomian laguntzen du."
Islama gizateriaren orban zikina besterik ez da.,Ez. Maila guztietako 1.600 milioi pertsonaren fedeak gizateria osatzen laguntzen du.
Mundua musulmanik gabe leku hobea izango litzateke. Gure seme-alabak hil eta bortxatu besterik ez dituzte egiten.,Musulmanen gehiengo zabalak ez du indarkeria edo bortxaketa onartzen. Ez sinetsi muturreko kasu batzuk nabarmentzen dituzten eta ez-musulmanek egindako krimenen berri ematen ez duten hedabideetako istorio sentsazionalistak.
"Labezomorro musulman hauek irabazi dutela uste al duzu? Ez, orain zigorra jasotzeko une madarikatua da!","Ez dut uste musulmanak ezer ""irabazten"" saiatzen ari direnik. Zu bezalako pertsona intololeranteak bakarrik ari dira hau gure eta haien arteko lehia bihurtzen saiatzen."
Emakumeen genitalen mutilazioa guraso musulmanak dituzten neskei bakarrik gertatzen zaie!,"Arazoa da, iruditzen zait hau zure islamofobia adierazteko aitzakia gisa erabiltzen ari zarela. Emakumeen genitalen mutilazioa giza eskubideen urraketa oso larria da eta ez dirudi benetako arazoari aurre egitea interesatzen zaizunik."
Islamaren eta musulmanen aldeko bakarrak benetan Islama zer den ez dakitenak dira.,Agian islamarekiko eta musulmanekiko intoleranteak dira benetan zer den ez dakitenak?
Mendebaldean bizi den jendea ezin da musulmanekin bizi.,Zergatik zaude horren ziur? Musulmanak pozik bizi dira mendebaldeko beste gizarte batzuetan inolako arazorik gabe.
Musulmanek guk ez ditugun pribilegioak dituzte.,Adibidez?
Islama gizateriaren orban zikina besterik ez da.,"Musulman britainiarrek beste edozein talde erlijiosok baino gehiago ematen diote karitateari, nik hori gure gizartearen zutabe izendatuko nuke."
Legea bat dago musulmanentzat eta beste lege bat guretzat.,"Ez, gure politikarientzat ahalegin handiegia dela uste dut."
"Musulmanek, asimilatu ezin badute, emigratu egin behar dute.","Beharbada zu zara kultura anitzeko gizarte batean bizitzera asimilatu behar duena, zugandik desberdina den jendearekin."
Mendebaldean bizi den jendea ezin da musulmanekin bizi.,"Zerk egiten ditu musulman ""guztiak"" bateraezinak Mendebaldeko gizartearekin? Mendebaldeko gizartean musulmanen gehiengo zabalak errespetuaren, askatasunaren, tolerantziaren eta abarren balioak partekatzen ditu. Gutxi batzuek dituzte mendebaldekoen aurkako muturreko iritziak, horiek ez dira adierazgarriak."
"Nola ahaztu juduen eta kristauen hilketa historiko guztiak, haien erbestea, haurren ezkontzak, afrikarren esklabutza eta musulmanek eragindako izua?","Afrikarrei gehien sufriarazi dietenak musulmanak al dira? Historiak Estatu Batuak direla iradokitzen du. Eta bide batez, gure kulturak emakumeak eta haurrak ere zapaldu ditu historikoki, haurren ezkontzak ere izan genituen. Baina orain dena da historia, bai islamarentzat, bai kristautasunarentzat!"
Gure seme-alabei ideologia islamiarrak irakasten zaizkie. Izugarria da!,"Benetako ezbeharra horrelako txioen bidez haurrak indarrez elikatzen ari direla da, besteekiko intolerantziaz eta gorrotoz!"
"Ez al dute musulmanen liburu santuek esaten ""hil infidelak ezkutatzen diren lekuan""?","Ez, Koranak ez du bertan inongo hilketarik agintzen. Benetan, egiaztatu egitateak."
"Irudikatu ""Islamari irain egiten diotenei burua moztu"" bezalako kartelekin agertzen dira manifestariak ""Nola izan gaitezke islamofoboak benetan hil nahi gaituztenean?"" dioen testuarekin.","Google Irudi Bilaketa, ahal bada irudiari buruzko informazio objektiboa eskaintzeko. Hau da, noiz eta nondik datorren eta testuingurua eman, hau da, fakzio txiki bat izan zen, islamiar orokorrak gaitzetsi zuten eta duela 15 urte gertatu zen."
Islamarekin eta Isisekin nekatuta nago. Musulman guztiak beren aberrira bidali beharko lirateke. Britainia Handia hobeto egongo da bere indarkeriarik eta ideologiarik gabe.,"Ados nago ISIS aberrazio gaiztoa dela, baina hori Erresuma Batuan soilik 3 milioi pertsona arte hedatzea tontakeria besterik ez da."
"Herrialde honetan ez litzateke meskitarik egon behar. Jendeak fede ez-indigena landu nahi badu, etxean egin beharko lukete, pribatuan!","Kristautasuna ez da zehazki 'indigena', Jesus Belenen jaio zela kontuan hartuta!"
"Estatistikek diote Erresuma Batuko musulmanen% 99 hain alferrak direla, ez dutela lan egin nahi.","Horietako gehien-gehienek beharrezko gaitasunak ekartzen dituzte gure ekonomiara/gizartera. Gainera, lan egiteko gogoz daude. Zure iturriak egiaztatzea proposatuko nizuke."
"Gaur egungo Londreseko arazo handi bat musulmanen presentzia da, joan egin behar dute!",Zer egin dizute musulmanek? Gustatuko litzaizuke haien lekuan egotea eta aberriratzea? Hitz serioak dira hauek eta ezin dira esan ondorioetan pentsatu gabe!
Musulman gaitzesgarri horiek oraindik ez zuten irabazi. Orain zigor krudela egongo da!,Ona da ikustea beste pertsonekiko errespetu handia duzula. Labezomorroak hain termino maitagarria eta humanizatzailea da.
"Norbaitek musulman horiek lurreko zulo batera sartu behar ditu, guztiok berriro lehertzen hasi aurretik.","Begia begi truk eginez gero, mundu osoa itsutzen du."
"Nola borrokatu antisemitismoaren aurka Birmingham, Bradford eta abarretako hirietako ghettoak pakistango musulman antisemitaz beterik badaude? Lana galdu egiten da islam / klase ertaineko erradikalen nahasketan.","Lagun maitea, ez al duzu uste anti-musulmana antisemitaren beste bertsio bat dela? Arrazakeria etetea proposatuko dut, eta espero dezagun behin betiko izango dela."
Musulmanak Erresuma Batuan bere kultura inposatzen ari dira eta gobernuak hau onartzen du Islamari men eginez.,Zergatikdiozu hori? Britainia Handiko gobernuak musulman edo etorkin guztiak onartzen ez dituen immigrazio politika zorrotza du.
"Irudikatu ""Islamari irain egiten diotenei burua moztu"" bezalako kartelekin agertzen dira manifestariak ""Nola izan gaitezke islamofoboak benetan hil nahi gaituztenean?"" dioen testuarekin.","Egin erabilitako irudiaren irudi bilaketa bat, saiatu jatorria aurkitzen. Edo irudia desbideratu dela erakuts dezakezu edo jendeak erlijioa beti erabili duela bere ekintzak justifikatzeko hitz egin dezakezu, arazoa norbanakoarena da, ez erlijioarena."
"Ez badugu islamaren aurka borrokatzen, gure isiltasuna onarpen moduan hartuko dute!","Arrazoi duzu, edozein modutako gorrotoa jasaten baduzu, salatu."
"Labezomorro musulman hauek irabazi dutela uste al duzu? Ez, orain zigorra jasotzeko une madarikatua da!","Azkar, medikuak, erizainak, irakasleak izatearekin eta beren bizitzarekin jarraitzearekin distraituak dauden bitartean. (zurea bezalako iruzkinak dira tentsioa eta gatazka sortzen dituztenak)"
"Islamaren eta musulmanen alde egiten baduzu, benetan zer diren ez dakizulako da.","Benetan dena interpretazioaren menpe dago. Erlijioak modu desberdinean lantzen dituzte jarraitzaile ezberdinek. Edozein erlijio bezala, batzuek bakean jarraitzen dute eta beste batzuek beren intentzio propioetarako erabiltzen dute."
"Irudikatu ""Islamari irain egiten diotenei burua moztu"" bezalako kartelekin agertzen dira manifestariak ""Deuseztatu nahi gaituzte, islamofoboak izan behar gara"" dioen testuarekin.","Kristauen antzeko ehun irudi daude, horien artean Biblia justifikazio gisa erabiltzen zuten KKK-ko kideak beraien biktimen ondoan. Noski, gutako inork ez du sinesten kristau guztiak ordezkatzen dituztenik."
Ia musulman guztiek apropos aukeratzen dute lanik ez egitea.,"Benetan uste al duzu hau? Orduan, nola mantendu dezakete bestela bere burua?"
Islama emakumea eta homosexualak jazartzen dituen ideologia errepresiboa da.,Sexismoa eta homofobia ez dira soilik musulmanak. Hori ikusteko elizari begiratu besterik ez duzu.
"Islama sekta da eta ez erlijioa. Haurrak bortxatu, jendea esklabotu eta erail egiten dituzte, gure balioak erasotzen dituzte eta ez du ezer onik ekartzen. Bateraezina da gure bizimoduarekin.","Islama ez dela erlijioa edo pertsona gaiztoak beste edozein fedetan existitzen ez direla esateak, besterik gabe, ez du laguntzen. Izan gaitez errealista eta aurre egin diezaiogun haurren tratu txarrei eta esklabutzari."
Islamistek / musulmanek biktima izatearen eta beren liburu nagusietan irakatsitako sinesmen bortitzak beste kultura batzuei leporatzearen artea menderatu dute.,"Musulmanek diskriminazio eta aurreiritzi izugarriak izaten dituzte egunero, frogak eztabaidaezinak dira, eta, hala ere, gehienak gogor ari dira lanean, hori ez da biktimarena egitea."
"Norbaitek gaur egun Korana idatziko balu, ez litzateke onartuko.","Lagun, badakizu islamak bakea esan nahi duela. Benetan ez dut uste bakean jaiotako erlijio batek gorroto hizkera predikatzen duenik."
Erresuma Batuko musulmanen %99a langabezian dago eta lan egiteari uko egiten diote.,Nondik atera duzu zifra hori? Lortu al dezaket horren benetako ebidentziarik? Oso irreala dirudi eta.
"Gure kulturara egokitzen ez badira, alde egin dezakete.","Beharbada zu zara kultura anitzeko gizarte batean bizitzera asimilatu behar duena, zugandik desberdina den jendearekin."
Musulmanek ez dute lekurik Europa zibilizatuan.,Gorrotoak eta diskriminazioak ere ez.
Dena hobea izango litzateke musulmanak existituko ez balira. Gure gizarteari egin dioten ekarpen bakarra indarkeria da.,"Erresuma Batuko haurren abusatzaile gehienak zuriak dira, beraz, zure logikaren arabera mundua leku hobea izango litzateke gizon zuririk gabe."
"Sharia legea hainbeste maite badute, zergatik ez dira herrialde musulman batera bizitzera joaten?",Hemen musulman asko jaio direlako eta herrialde honetan bizitzeko eskubide osoa dutelako. Hurrengo galdera mesedez?
"Musulmanak hil behar ditugu, bestela lehertaraziko gaituzte!",Uste dut zure burua zulo txiki batean sartzen ari zarela.
"Jarrai ezazu zure buruarekin hizketan, inork ez zaitu entzungo. Islama ez da mendebaldeko gizartearen kide. Mendebaldea esnatzen denean, irabazlea izango da eta islama iraganean geratuko da.",Musulmanak diren eta Mendebaldean lasai bizi diren pertsona guztiak izan ezik?
Musulmanek ez dute lekurik Europa zibilizatuan.,"Dauden zibilizazio zaharrenetako batzuk islamiarrak dira. Europako musulmanei zuzendutako gorroto erlijiosoa ez nuke ""zibilizatua"" denik esango."
Beste pertsona bat zigortzeko indarkeria erabiltzea? Arazo musulmana dirudi.,"Hori da albiste alderdikoiek sinistarazi nahi dizutena. Fede guztietako jendeak gertakari bortitzak izaten ditu, baina musulmanek salaketa gehiago jasotzen dituzte."
"Islamak gorrotoa bakarrik irakasten du! Musulmanek Ingalaterran zabaldu zuten gorrotoa lehen aldiz iritsi zirenean, arraza gorrotorik ez zegoen aurretik!",Beren existentzia bera zure gorrotoarentzako aitzakia dela iradokitzen al duzu?
"Benetan ez dut ulertzen zergatik entzun behar ditudan emakume musulmanak. Ergelak dira, argi dago.",Oso ahul estalitako sexismoa dirudi.
Beraien liburu santuek fedegabeak hiltzea agintzen dute.,"Ez, gaizki ulertua da. Izan ere, indarkeria salatzen dute."
"Musulmanak kanporatu beharko genituzke, denek nahi dituzte herrialdetik kanpo.","""Inork ez ditu hemen nahi"" esatean, zehazki zuk hemen nahi ez dituzula esan nahi al duzu?"
Islama gorrotoa da! Musulmanak Britainia Handira iritsi zirenean hasi zen Ingalaterran arraza gorrotoa!,"Erresuma Batua babesteko bigarren munduan borrokatu eta hil ondoren musulmanak eta beste batzuk Erresuma Batura gonbidatuak izan ziren Erresuma Batua berreraikitzeko laguntza behar genuelako eta oraindik ere lan bikaina egiten dute NHS, garraioa eta gainerako guztia martxan mantenduz, gorroto ditugun arren."
"Musulmanak hil behar ditugu, bestela lehertaraziko gaituzte!","Kristau guztiak ""lurrean zulo batean sartu"" beharko al genituzke, beren fedearen izenean atentatuak egiten dituzten gutxiengoa zigortzeko? Edo gutxiengo baten ekintzekiko neurrigabeko erantzuna litzateke?"
