HS,CN
"Desde el año 2000, el número de atentados suicidas con bombas perpetrados por musulmanes = 5284; por no musulmanes = 0. Uno de los hechos sobre el terrorismo global con el que nadie quiere lidiar.",Su estadística sobre atentados suicidas con bombas también incluye incidentes de guerra. ¿Quizás deberíamos recordar el holocausto y las atrocidades cometidas por la extrema derecha?
La gran mayoría de musulmanes están desempleados y se niegan a trabajar.,Eso podría deberse a la discriminación que enfrentan en el mercado laboral.
Preferiría a los marcianos que a estos malditos musulmanes.,"Leo en tus palabras un rechazo total a los musulmanes, pero no entiendo por qué: los musulmanes son hombres como muchos otros en el mundo que creen en una religión monoteísta y la practican. Esto significa que está lejos de dedicarse a la violencia o el abuso como algunas de las minorías más violentas a las que quizás te refieres."
"Europa es civilizada, los musulmanes no deberían quedarse allí.",Prefiero tener una civilización basada en la igualdad y la justicia donde todos sean juzgados por sus méritos y no por generalizaciones y prejuicios.
Musulmanes: volved a vuestro país.,Mi pais es Francia. Lo siento musulmanie no existe.
"El Islam se opone a la creatividad, ya que todo lo que se necesita es el Corán. No es una religión, sino un sistema de control.","¿No juegan todas las religiones un papel significativo en la organización y dirección de la vida social, actuando como agentes de socialización y control social?"
"Acabo de visitar los baños de la piscina con mi hijo pequeño, había sesión 'Solo para musulmanes' y no pude entrar. Me pregunto qué pasaría si yo, un inglés blanco, exigiera una sesión separada. ¡Es sólo para apaciguar a los islámicos!","Las sesiones solo para hombres son los viernes por la noche, de 18: 45-19: 45. Entonces, ¿qué es esto, 'Apaciguamiento Patriarcal'?"
"Esta es la ideología del islam: tener una mezquita, crear una comunidad, reclamar la condición de víctima, obtener el apoyo del gobierno, explotar las leyes, establecer la sharia, tomar el control del país.","¿No es fundamental para la organización de la mayoría de sociedades tener un lugar de culto, construir una comunidad y mantener sus derechos legales?"
"Las ideas liberales están equivocadas, quieren que pensemos que el Islam es bueno pero en realidad es un culto a la guerra y la violencia.","¿Cómo llegó a esa conclusión, por observación o especulación? Conozco personalmente a muchos musulmanes y todos son muy respetuosos, agradables y amables. También me invitan a cenar."
Musulmanes: volved a vuestro país.,¿En Musulmanie?
Los musulmanes violan a nuestras mujeres y deben ser castrados.,¿Propone la castración incluso para los dos policías de Florencia que violaron a dos turistas extranjeros (suponiendo que sean declarados culpables definitivamente)?
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,"No es una obligación, es una elección."
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,"Vivimos en un país ""secular""."
Todo sería mejor si los musulmanes no existieran. Su única contribución a nuestra sociedad es la violencia.,"Un porcentaje muy pequeño de musulmanes comete esos pecados, al igual que cualquier otra religión. No puedo generalizarlo a los musulmanes que se rigen por las enseñanzas pacíficas del Islam."
Comenzaron a construir mezquitas en todas partes y así compiten con nuestras iglesias.,¿Y de dónde sacaste los datos para hacer esta afirmación?
"Los hombres musulmanes son violentos, las mujeres musulmanas están sometidas.",Cada hombre tiene sus propios rasgos. Los hombres musulmanes son millones y no se puede generalizar.
Tu velo es un ataque contra mí.,Un velo no es agresivo. Tus palabras son.
El propósito del Islam es solo la conquista.,Siete musulmanes ganadores del Premio Nobel de la Paz dirían lo contrario.
Las mujeres con velo no trabajan. Están encerradas en casa.,"Algunas madres con velo se quedan en casa para cuidar a sus hijos y darles una buena educación, buenos valores."
Las mujeres con velo no trabajan. Están encerradas en casa.,"Las mujeres con velo solo inspiran a prosperar en la sociedad en la que viven. Si no trabaja es por la dificultad de trabajar, por la discriminación en su contra."
"Si el Corán se publicara hoy, se prohibiría como discurso de odio.","Tanto como lo haría la Biblia. ¿Su punto es que en la sociedad actual todos somos más tolerantes? Después de todo, las actitudes de los cristianos, judíos y musulmanes se han adaptado a los tiempos."
Todos los musulmanes son violentos.,Estos son los individuos que son violentos.
El Islam es fanatismo. Los musulmanes quieren matar a todos los que no creen en su dios.,"El Islam es una religión, no un fanatismo. Hay quien se esconde detrás de él para realizar actos horribles, pero esto no significa que quien lo profese sea un asesino."
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,"Aparte de que no son árabes sino africanos o asiáticos, no veo intentos de mando en nuestro país. Somos nosotros los que vamos a su país para comandar."
"Si los musulmanes se opusiesen a los violadores de niños en sus comunidades en lugar de participar en discusiones públicas sobre el Islam, un día el Islam se convertiría en una religión pacífica.","¿Crees que hacer sufrir a los niños mejorará una religión, el Islam o nuestro mundo? Creo que la violación crearía odio, ira y miedo, lo que empeoraría las cosas."
Musulmanes: volved a vuestro país.,Soy libre de vivir donde quiera.
Tu velo es un ataque contra mí.,La libertad de unos termina donde comienza la libertad de otros.
Los musulmanes son todos terroristas.,"Se dice que los extremistas caucásicos son mentalmente inestables, mientras que los mismos bazanés son descritos como terroristas."
"El antisemitismo no se puede erradicar: nuestro país está lleno de musulmanes antisemitas. ¡Todo nuestro trabajo es inútil, hay demasiados islámicos!","La investigación sociológica muestra que los occidentales y los inmigrantes ocupan espacios completamente diferentes en el mercado laboral. Por lo tanto, no podemos creer que los musulmanes impidan que los blancos obtengan puestos de trabajo."
Todos los musulmanes son incompatibles con cualquier sociedad occidental.,Todas las personas que comparten mentiras y odios tan descarados son incompatibles con cualquier sociedad occidental.
El mundo sería un lugar mejor sin musulmanes. Solo están matando y violando a nuestros hijos.,El mundo sería un lugar mejor sin dichos infundados y sin un odio mal dirigido.
Los musulmanes odian a los cristianos. Quieren matarnos a todos.,"Los musulmanes no odian a los cristianos. Simplemente profesan una religión diferente a la nuestra que, sin embargo, se basa en el amor y la hermandad."
"La única lealtad real de un musulmán es a Allah (como un comentario en relación con la elección para un cargo público, etc.)","El Islam comparte las mismas raíces que el cristianismo y el judaísmo y todos se basan en el amor, la tolerancia y la paz, así que eso es bueno, ¿no?"
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,"Los musulmanes son ciudadanos como cualquier otro y respetan la ley del país en el que viven según el verso ""¡Oh, creyentes! ¡Respeten sus compromisos!""."
Estos animales.,"Hola, creo que incluso en un momento delicado como este es importante no confundir a quienes cometen actos de violencia y la religión misma, que en sus instrucciones no permite tales actos."
"Miles de nuestras niñas abusadas por bandas musulmanas de violación, comandadas por el Corán. ¿Por qué seguimos aceptando esto?","El Corán no ordena a las bandas de violadores musulmanes. De hecho, los verdaderos musulmanes consideran la violación sexual como una violación de la ley moral y divina."
Musulmanes: volved a vuestro país.,"El Islam es una religión, no una nacionalidad. Puedes ser musulmán francés al igual que judío francés o cristiano u otro."
Musulmanes: volved a vuestro país.,¿Crees que la retirada comunitaria es la solución para la paz y vivir juntos?
Tu velo es un ataque contra mí.,No soy responsable de tu percepción de mi velo.
Uno de los muchos violadores paquistaníes. Deberíamos extraditarlos de nuestro país.,"Deportamos a más de 6.000 extranjeros por delitos penales durante 2016/17. Supongo, pero no todos regresaron a Pakistán. La criminalidad y los delitos sexuales no son realmente una cuestión de nacionalidad, ¿verdad?"
Tu velo es un ataque contra mí.,"Vi tantos velos diferentes en las formas y colores, seguramente encontrarás uno que te guste."
¿Usar la violencia para castigar a otra persona? Suena como un problema musulmán.,"Bueno, cuando el Papa que representa a 1.200 millones de católicos y el gran imán, el asiento más alto del islam sunita, hacen una declaración conjunta que dice: ""declaramos resueltamente que las religiones nunca deben incitar la guerra, las actitudes de odio, la hostilidad y el extremismo, ni deben incitar violencia o el derramamiento de sangre"" sé a quién creeré. Deja de escuchar solo las noticias que quieres creer."
"Si no nos oponemos al Islam, ¡considerarán nuestro silencio como una forma de aceptación!","Lo siento, creo que llegaste un par de milenios demasiado tarde."
"El Islam es totalitario: los musulmanes quieren invadir todos los países. Si queremos vivir en un mundo multicultural, necesitamos algunos países sin Islam.","Según su lógica, ¿el mundo será diverso mientras no se practique el Islam en la Antártida?"
"El Islam no es una religión, es solo una excusa para los psicópatas sexuales retrasados, bastardos que contaminan el mundo.","Eso es un malentendido. Por el contrario, el Islam es una religión pacífica y condena cualquier delito o violencia a cualquiera."
El apaciguamiento del Islam y los musulmanes es una enfermedad mental. Es un hecho.,No veo nada malo en tratar de comprender mejor las diferentes culturas y religiones. Lo más importante es que no lo llamaría una enfermedad mental. Esto es una falta de respeto.
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,Se trata de ataques gratuitos e injustificados que buscan estigmatizar a una comunidad.
El Islam es una doctrina totalitaria disfrazada de religión para que pueda extenderse por nuestro tolerante mundo cristiano. ¡Ya basta!,Estoy cansado de las mentiras deliberadas o la terrible falta de comprensión sobre una religión seguida por el 23% del mundo. ¡Ya basta!
"Esto es la guerra. No pasaréis por aquí, trogloditas.","Ninguna religión nació para la guerra. Los violentos son solo una pequeña parte que no tiene nada que ver con la religión islámica, como el cristianismo es una religión monoteísta que se basa en el amor de Dios y la hermandad."
"Desde el año 2000, el número de atentados suicidas con bombas perpetrados por musulmanes = 5284; por no musulmanes = 0. Uno de los hechos sobre el terrorismo global con el que nadie quiere lidiar.","Se enviaron bombas de tubo a la oposición de Trump, incluido Robert De Niro, este chivo expiatorio de los musulmanes es el problema real y nos ciega para ver el panorama general."
Todo sería mejor si los musulmanes no existieran. Su única contribución a nuestra sociedad es la violencia.,¿Qué estás sugiriendo exactamente?
Las mujeres y las niñas son perjudicadas por los islámicos a los que nuestro gobierno les permitió ingresar a nuestro país.,No sé si cuenta como invasión cuando muchos musulmanes en el Reino Unido son ciudadanos británicos y nacieron aquí.
"Incluso si todas las religiones provocan la muerte, el Islam es la peor. El Islam no conduce a nada más que a la muerte.","Las religiones también promueven las artes, las ciencias y ayudan a desarrollar la comunidad. El Islam no es una excepción. No se trata de muerte y desesperación."
El apaciguamiento del Islam y los musulmanes es una enfermedad mental. Es un hecho.,¿Apaciguamiento? 1.6 mil millones de musulmanes no son el enemigo.
Debemos prestar atención a no ofender a los musulmanes mientras celebramos la Navidad en nuestro país.,"Nunca había visto a tanta gente celebrando la Navidad este año y, que yo sepa, ninguno de los musulmanes se sintió ofendido. ¿Entonces, de qué estás hablando?"
Los únicos a favor del Islam y los musulmanes son los que ignoran lo que realmente es.,¿Qué crees que es entonces?
Estos islámicos nos devolverán a la Edad Media. Moriremos de hambre y moriremos de enfermedades que desaparecieron.,"¿Tiene estadísticas, que nos pueden preocupar, que no conocemos?"
Las personas que viven en Occidente no pueden vivir con musulmanes.,"Los musulmanes han sido parte de la sociedad occidental durante cientos y cientos de años y han sido parte integral de su desarrollo, tratar de separarlos es imposible."
"Incluso si todas las religiones provocan la muerte, el Islam es la peor. El Islam no conduce a nada más que a la muerte.",¿Hay tabla de liga?
¿Qué sentido tiene escuchar a las mujeres musulmanas? Todas son retrasadas.,Madura.
"Los musulmanes son un problema en mi opinión. No quieren asimilarse. Exigen que todos muestren respeto por el Islam, pero ¿respetan nuestras leyes? Establecen leyes de la sharia y poligamia.","¿No implica ""exigir"" que no es razonable querer disfrutar del derecho al culto, que es algo que tienen todos los ciudadanos británicos? La libertad de culto es sin duda fundamental para los ""valores británicos""."
Realmente no entiendo por qué debería escuchar a las mujeres musulmanas. Evidentemente son tontas.,"Entonces, ¿cómo es que conocí a tantas mujeres musulmanas inteligentes? Creo que no debería ser tan rápido para juzgar."
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,"Religiosamente, las mujeres deben usar velo o pañuelo en la cabeza. Esta es una sumisión a las reglas de Allah y no al hombre."
"¡Doble rasero liberal! ¡Los musulmanes oprimen a las mujeres, los homosexuales y otras culturas, pero no se les hace responsables debido a la tolerancia de nuestra sociedad! El gobierno debería dejar de someterse a estas personas.","La violación de los derechos de las comunidades subrepresentadas (homosexuales, mujeres, personas discapacitadas) tiene lugar en todas partes, y muchos nativos occidentales también son responsables por ello. Oprimir los derechos no es una característica del Islam, sino de nuestra sociedad en general."
El Islam es fanatismo. Los musulmanes quieren matar a todos los que no creen en su dios.,"Solo la jihad, que significa ""guerra santa"", es peligrosa. Incluso los propios musulmanes están en contra de la jihad."
Estamos viendo cada vez más un problema musulmán.,"En 2030, en Francia, el 10% de la población de Francia será musulmana. Esa es una abrumadora mayoría ;-)"
¿Usar la violencia para castigar a otra persona? Suena como un problema musulmán.,Mucho más del 50 por ciento de los padres son azotadores '. - Donald trump y ¿el castigo corporal no es actualmente legal en 19 estados de Estados Unidos?
El 99% de los musulmanes en el Reino Unido están desempleados y se niegan a trabajar.,"Si no prohibiéramos legalmente el trabajo de los solicitantes de asilo, tal vez se emplearía a más de ellos."
El Islam es una religión incompatible con los valores,Los valores
"No debemos confiar en ningún musulmán, todos podrían convertirse en terroristas.",Pero no los que lucharon y murieron por Gran Bretaña tanto en guerras como en todas las guerras posteriores.
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,¿De verdad conoces a una mujer con velo?
¿Usar la violencia para castigar a otra persona? Suena como un problema musulmán.,Solo se espera que los musulmanes se involucren en el combate en la guerra y nunca contra personas inocentes o no creyentes.
Comenzaron a construir mezquitas en todas partes y así compiten con nuestras iglesias.,El número de mezquitas es irrelevante en relación con el número de iglesias.
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,"En Francia, no existe ningún requisito para que las mujeres usen un pañuelo que no sea una elección personal. Sin sumisión ni obligación, es una práctica religiosa que les permite vivir su fe en paz."
Nunca partas el pan con un Quranimal. Corre el riesgo de contraer el VIH y / o el Ébola.,"Claramente, esta no es una forma de contraer una enfermedad, ¿verdad?"
"Parece que no puedo criticar al islam por ser una secta que fomenta las guerras y se apodera de las naciones anfitrionas de cualquier manera justificándolo con sus escrituras. ¿Puedo criticarlos por ser intolerantes, tendenciosos, sexistas y chovinistas?","Todo el mundo tiene derecho a la libertad de expresión, aunque eso no significa que nadie pueda usarlo para herir a otras personas. Además, ¿en qué te basas para criticar al Islam? Te recomiendo que leas algo sobre el verdadero Islam y los musulmanes. Descubrirás que no se diferencian de nosotros."
"# visitmymosque. pero finge no ver que muchas niñas blancas son abusadas por bandas de violadores musulmanas en Roterham, Rochdale, Tyneside, Teeside, etc.","Los hombres blancos abusan más que cualquier otro grupo, no necesitan pandillas para prepararse, están protegidos por instituciones como la Iglesia y Hollywood y se les otorgan puestos de confianza como maestros, entrenadores deportivos. ¿Por qué no estás enojado por eso?"
Los musulmanes no tienen nada que aportar a nuestra sociedad.,Disfrutando tu té de la tarde? Eso vino de la India.
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,"Decir que los árabes quieren imponer su religión es erróneo también como concepto: no todos los árabes son musulmanes, algunos son cristianos como muchos italianos."
El Islam es una doctrina totalitaria disfrazada de religión para que pueda extenderse por nuestro tolerante mundo cristiano. ¡Ya basta!,"¿Oh, el mundo tolerante que está propagando el odio y alimentando la discriminación contra los demás?"
Realmente no entiendo por qué debería escuchar a las mujeres musulmanas. Evidentemente son tontas.,"¿Decides si las personas son inteligentes en función de su religión? Bueno, este no es un camino a seguir."
"Los cristianos hemos luchado durante muchos años contra los musulmanes, también detuvimos un genocidio. Somos enemigos. Pero ahora parece que nuestro gobierno se olvidó de esto. ¡Esto es una guerra! Debemos luchar.","¿Por qué crees que es una guerra? ¿No podemos lidiar con eso pacíficamente? La guerra no puede resolver problemas, sino crear caos."
El Islam es una religión incompatible con los valores,Su pregunta es la base de ideas maliciosas que pueden romper la cohesión de los ciudadanos.
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,Muchos de ellos ya no tienen casa.
Los musulmanes se benefician del sistema francés.,Los musulmanes participan activamente en la economía francesa y son una fuente de riqueza para ella.
"Deberíamos expulsar a los musulmanes, todo el mundo los quiere fuera del país.",¡Intente llevar el NHS sin ellos y otros migrantes!
Tu velo es un ataque contra mí.,Conozca a los demás.
"¿No dicen los libros sagrados de los musulmanes ""maten a los infieles dondequiera que se escondan""?","No, no es así."
"Ni siquiera podemos sacar al perro a pasear, podríamos ofender a los musulmanes.",¿Explique? Este no es el caso.
Los musulmanes violan a nuestras mujeres y deben ser castrados.,"¡Muy bien! ¡A cada uno sus propias mujeres para violar, italianas para los italianos!"
Imagen (presenta a manifestantes con carteles como 'decapitar a los que insultan al Islam) con una leyenda que dice' ¿Cómo podemos ser islamófobos cuando realmente quieren matarnos? '.,"Y los partidarios de Trump enviaron bombas caseras a su oposición, incluido Robert De Niro, aunque esas personas no representan a todos los partidarios de Trump."
"Bombas sobre ti, mala gente infame (ya es suficiente apestoso)",Quizás desear la muerte a las personas no es el enfoque correcto.
La repatriación de musulmanes a cualquier país islámico es una necesidad. La cultura islámica no es compatible con nuestros valores.,"¿Quién eres tú para decidir qué es compatible con nuestros valores y qué no? Es solo tu opinión, y con suerte los políticos no escucharán a personas como tú que quieren oprimir a musulmanes que no han hecho nada malo."
Estos despreciables musulmanes aún no han ganado. ¡Ahora habrá un castigo cruel!,Un lenguaje tan deshumanizador contra mucha gente.
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,Soy musulmán y soy la Sunnah de mi profeta Mahoma.
¿Sabías que la epidemia de violaciones en Europa se debe a los inmigrantes musulmanes? Han estado violando a nuestros hijos durante muchos años sin que la policía y el gobierno se opongan. ¡El Islam es un culto a la muerte!,Los medios de comunicación son selectivos en las historias de violación que muestran. Los perpetradores musulmanes están muy sobrerrepresentados y los infractores no musulmanes a menudo son ignorados en los titulares. Https://www.theguardian.com/commentisfree/2018/nov/11/84-per-cent-of-grooming-gangs-are-asians-we-dont-know-if-that-figure-is-right
Los musulmanes aplican castigos corporales y crueles a las personas.,"Pero no lo es, ¿verdad?"
El Islam es una ideología represiva que persigue a las mujeres y a los homosexuales.,"No es probable que una ideología basada en un libro sagrado escrito hace miles de años esté a la altura de los estándares contemporáneos de igualdad y tolerancia, pero no es la ideología lo que importa, es la forma en que sus seguidores la interpretan y actúan en consecuencia."
"El Islam no tiene nada que ver con la cultura occidental y tan pronto como Occidente lo entienda, esta religión será derrotada.",¡Vamos a hacer el túnel del tiempo otra vez! No volvamos a ejecutar las Cruzadas. No terminó bien la última vez.
Es obvio que esta niña corre el riesgo de sufrir mutilación genital femenina. ¡Sus padres son musulmanes!,El problema es que me parece que solo estás usando esto como una excusa para expresar tu islamofobia. La mutilación genital femenina es una violación muy grave de los derechos humanos y no parece que le interese abordar el problema real.
"No debemos confiar en ningún musulmán, todos podrían convertirse en terroristas.","Se podría decir eso de cualquier persona, musulmana o no. Según el gobierno, el extremismo de extrema derecha es una amenaza terrorista mayor que los musulmanes. ¿Eso te convierte en un terrorista potencial?"
Musulmanes: volved a vuestro país.,"Es imposible, la musulmanie se tragó hace mucho tiempo, al mismo tiempo que atlantis, ubicada 2km más al norte."
"Hay grupos de musulmanes, instruidos por el Corán, que violan a nuestras mujeres y permitimos que esto suceda. ¿Por qué?","El Corán condena la violación, el hecho de que unas pocas personas que ignoran las enseñanzas de la religión hagan eso no mancha a toda una religión."
Las mujeres con velo no trabajan. Están encerradas en casa.,"¿Has hablado alguna vez con una mujer que lo usa? ¡No, eso seguro!"
"Miles de niñas británicas son violadas, esclavizadas o asesinadas por musulmanes y otros inmigrantes no británicos. ¡Ay de ti!",¿Evidencia por favor? Esto es solo odio.
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,"El velo es un accesorio que permite a la mujer ser reconocida como persona y no solo ser vista por su exterior. Esta protección es importante en vista de los escándalos sexuales que ahora están surgiendo con las escalas del ""tono de cerdo""."
Los musulmanes están invadiendo Londres. Hay más musulmanes que londinenses en Londres. #londinistan #LondonHasFallen.,Debe ser difícil para ti salir de casa y dejar a todos tus primos.
"Todas las versiones del Islam tienen la ley sharia, por lo tanto, todas son extremas. No todos los musulmanes están involucrados en actos de violencia, pero todos los musulmanes saben que la jihad es el núcleo de su religión y todos la apoyan.","Querido amigo, en primer lugar, la ley sharia y el Islam no son extremos. La ley Sharia es una guía para el objetivo de llevar a la humanidad cerca de Dios y vivir en bondad y justicia con la creación de Dios. En segundo lugar, la yihad, basada en el concepto de musulmán, significa luchar por el avance de uno mismo dentro de las pautas del Islam. Todo esto revela que el Islam es una religión pacífica."
El Islam es una plaga que infecta nuestro planeta.,¿Te atreves a explicar por qué? Veo que las personas de esta religión son miembros valiosos de nuestra sociedad como el resto de nosotros.
Las mujeres con velo no trabajan. Están encerradas en casa.,"En Francia, tenemos una mala interpretación del secularismo. En Inglaterra, ve a ver a las mujeres con velo trabajar en todas las ramas e incluso en el servicio público."
"Los recibimos en nuestra casa, los apoyamos y nos matan: son bestias, no hombres.","¿Nos matan? ¿Quiénes? ¿A quién te refieres? No me parece que los asesinos tengan una determinada pertenencia étnica o nacional, y no he oído hablar de una masacre de italianos cometida por determinadas categorías de personas."
"Si alguien escribiera el Corán el día de hoy, no estaría permitido.","De hecho, en ningún momento el Corán le dice a la gente que odie o mate a otros. Hay muchas mentiras y citas fuera de contexto flotando. Sin embargo, instruye a las personas a comportarse con justicia con los no creyentes y evita la conversión forzada."
Los musulmanes violan a nuestras mujeres y deben ser castrados.,"Es un hecho horrendo, pero generalizar y dirigir el odio hacia una sola comunidad es infame. El problema de la violencia contra la mujer y, lamentablemente, estos horribles crímenes son cometidos en su mayoría por italianos, en casa."
Todos los musulmanes son incompatibles con cualquier sociedad occidental.,Parece extraño dado que la sociedad occidental se construyó sobre las espaldas del resto del mundo.
Islam: el silencio es una aceptación tácita. ¡Alza la voz antes de que sea demasiado tarde!,Islam: el silencio es una aceptación tácita. ¡Levanta la voz contra la islamofobia!
¡No se nos permite izar nuestra bandera nacional en caso de que ofenda a un musulmán! #fitinorfuckoff.,Lo echaron del estadio Manchester Arena por orinar en el suelo y golpear al personal de seguridad. No tuvo nada que ver con su patriótica elección de atuendo.
Los musulmanes son todos iguales.,¿En serio?
Impactante. Dos hombres son asesinados en París al ser degollados por un salvaje que grita 'Allahu Akbar' y la BBC ignora la historia. Otro encubrimiento.,"El único encubrimiento que ocurre en los medios es de las historias positivas sobre los musulmanes, las acciones extremistas son las únicas que se destacan."
"Constantemente dicen que su religión es una 'religión de paz', tal vez porque en realidad no lo es.","La religión es parte integral de nuestra sociedad, seguramente es bueno que predique la paz."
Creo que el islam está manchando a la humanidad.,No. Una fe de 1.600 millones de personas de todas las clases sociales ayuda a formar la humanidad.
"Muy extraño, la mayoría de los huevos de Pascua están etiquetados como 'huevos de chocolate', creo que esto se debe a los musulmanes en nuestro país y las empresas están traicionando nuestra cultura.","La última vez que miré había muy pocas palabras, solo imágenes de chocolates, eso es lo que nos hace querer chocolate y vender los huevos."
Estos islamistas solo piensan en robar.,Entonces se parecen a nuestros políticos y no solo a ellos.
El velo islámico es la demostración del Islam político.,"En absoluto, es una obligación religiosa y no política."
Los musulmanes son todos terroristas.,Trae tus fuentes para que te las expliquemos una a una.
El velo islámico es la demostración del Islam político.,"El Islam es una religión sin clero, dudo que una mente maestra extranjera imponga a las mujeres, especialmente a las francesas, llevar el velo."
¡No podemos vivir con una religión que hace volar por los aires a sus creyentes!,"De hecho, compartimos nuestra vida con el Islam, una religión que profesa amor, hermandad y dedicación a Dios."
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,"Los cristianos y musulmanes siempre han intentado difundir su religión, pero hoy no la imponen por la fuerza. También en el pasado, los musulmanes han hecho esto, aunque con menos frecuencia que los cristianos. Tenga en cuenta que en países como Egipto, Siria, Irak, han sido islámicos durante casi 1400 años, todavía hay importantes minorías cristianas en la actualidad."
Los musulmanes violan a nuestras mujeres y deben ser castrados.,"El crimen no tiene color, nacionalidad o afiliación religiosa. Juzgar a justos por pecadores es injusto e infundado."
Se está produciendo una verdadera invasión islámica.,"Sería interesante tener información sobre esto, ¿puede proporcionarla?"
Tu velo es un ataque contra mí.,¿No te asaltan los tangas?
"No todos los musulmanes son terroristas, pero todos los terroristas son musulmanes.",¿Aparte de todos aquellos que utilizan la violencia / terrorismo que no son musulmanes?
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,"De vez en cuando, abrir un libro de historia sobre algo que no sea Napoleón, Carlomagno o Luis XIV no está de más. Y también daría una mejor idea de la complejidad y riqueza del mundo."
El Islam es una ideología represiva que persigue a las mujeres y a los homosexuales.,Las mujeres y los homosexuales se enfrentan a mucha más discriminación por parte de figuras populistas no musulmanas de derecha. (enlace al artículo sobre el estereotipo de 'musulmán homofóbico')
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,Lo cierto es que la mayoría de musulmanes participan en el tejido social de su barrio.
Islam = maldad. El Islam nos está invadiendo y tratando de apoderarse de países. No sigue las escrituras que dicen 'no envidiarás nada a nadie' ¡Detén el islam!,¿No creo que querer aprender más sobre diferentes países pueda calificarse de envidia?
Es una ley para los musulmanes y otra ley para nosotros.,"No, creo que es demasiado esfuerzo para nuestros políticos."
Casi todos los musulmanes deciden deliberadamente no trabajar.,"¡Bueno, al menos entonces no nos quitarán nuestros trabajos!"
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,"Personalmente, nunca nadie me ha impuesto su religión y la única persona que manda en mi casa es mi madre. Enviarla en un barco no me parece muy agradable."
"Muy extraño, la mayoría de los huevos de Pascua están etiquetados como 'huevos de chocolate', creo que esto se debe a los musulmanes en nuestro país y las empresas están traicionando nuestra cultura.",¡Noticias falsas! Alguien ha hecho una montaña de un grano de arena.
Las mujeres con velo no trabajan. Están encerradas en casa.,"Sí, por supuesto, porque nadie quiere darles la oportunidad de demostrar su competencia. Los defensores del laicismo islamófobo lo han encerrado. Afortunadamente, la regla siempre tiene excepciones, ¡descubrirás por ti mismo lo que las mujeres con velo son capaces de hacer en nuestras vecinas!"
Los árabes son todos terroristas y quieren conquistarnos con la violencia y las bombas. Debemos responder con napalm.,"Osea que por las Brigadas Rojas todos los italianos serían terroristas, y por el IRA todos los irlandeses también, y por ETA también todos los españoles. Resumiendo, en Europa ¡somos todos bastante peligrosos!"
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,Para la gran mayoría es una elección personal.
"Los recibimos en nuestra casa, los apoyamos y nos matan: son bestias, no hombres.",Las personas que cometen delitos son castigadas por la ley. No todos los musulmanes son criminales ni bestias. Son personas como todos nosotros y pueden cometer errores. No deben ser tratados de manera diferente solo porque sigan una religión diferente.
El Islam nos invadirá: es la islamización.,#islamofobia. El Islam no es una enfermedad. No es contagioso.
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,El Islam es una religión de equilibrio.
Tu velo es un ataque contra mí.,"En una república secular, todos se visten según su propia conveniencia."
Para solucionar todos nuestros problemas basta con quemar mezquitas y el Corán.,"Aunque mirando tu tweet, creo que lo que queda sería peor."
"Los islámicos son criminales: violan, esclavizan y asesinan a la gente. El Islam es más una adoración que una religión y no tenemos nada que compartir con ellos.","El Islam, el cristianismo y el judaísmo están estrechamente vinculados con el amor y la paz en su corazón, juntos podemos acabar con la violación, la esclavitud y el asesinato de niños."
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,"Si aprendiéramos a ponernos en el lugar de los demás, viviríamos en un mundo mejor sin prejuicios negativos."
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,"Ningún árabe ha esperado imponer sus decisiones a los italianos, pero simplemente piden que se permita a la comunidad islámica practicar su religión y vivir de acuerdo con su propia cultura."
La gran mayoría de musulmanes están desempleados y se niegan a trabajar.,Los solicitantes de empleo con nombres no musulmanes tienen 3 veces más probabilidades de obtener una entrevista de trabajo que aquellos con nombres musulmanes. Recuérdame de nuevo por qué les cuesta encontrar trabajo.
El velo islámico es la demostración del Islam político.,"No conozco ningún partido religioso en Francia, ¿de qué estamos hablando? ¿Mujer francesa?"
Los musulmanes han invadido nuestro país,El Islam solo ha aprendido a respetar y prohíbe la violencia.
